board,  ch,  id, Steve-A-side Date-Time D2025-04-28_T07-24-48 v1.0
5,  0,  5.000, 210,  
5,  1,  5.001, 200,  
5,  2,  5.002, 260,  
5,  3,  5.003, 260,  
5,  4,  5.004, 260,  
5,  5,  5.005, 230,  
5,  6,  5.006, 240,  
5,  7,  5.007, 240,  
5,  8,  5.008, 230,  
5,  9,  5.009, 230,  
5,  10,  5.010, 240,  
5,  11,  5.011, 240,  
4,  6,  4.006, 230,  
4,  7,  4.007, 230,  
4,  8,  4.008, 230,  
4,  9,  4.009, 290,  
4,  10,  4.010, 250,  
4,  11,  4.011, 290,  
11,  0, 11.000, 220,  
11,  1, 11.001, 190,  
11,  2, 11.002, 260,  
11,  3, 11.003, 250,  
11,  4, 11.004, 250,  
11,  5, 11.005, 230,  
11,  6, 11.006, 240,  
11,  7, 11.007, 240,  
11,  8, 11.008, 220,  
11,  9, 11.009, 230,  
11,  10, 11.010, 230,  
11,  11, 11.011, 250,  
10,  6, 10.006, 290,  
10,  7, 10.007, 250,  
10,  8, 10.008, 240,  
10,  9, 10.009, 280,  
10,  10, 10.010, 280,  
10,  11, 10.011, 280,  
3,  0,  3.000, 220,  
3,  1,  3.001, 190,  
3,  2,  3.002, 260,  
3,  3,  3.003, 280,  
3,  4,  3.004, 280,  
3,  5,  3.005, 230,  
3,  6,  3.006, 240,  
3,  7,  3.007, 240,  
3,  8,  3.008, 230,  
3,  9,  3.009, 230,  
3,  10,  3.010, 240,  
3,  11,  3.011, 240,  
4,  0,  4.000, 240,  
4,  1,  4.001, 240,  
4,  2,  4.002, 240,  
4,  3,  4.003, 240,  
4,  4,  4.004, 240,  
4,  5,  4.005, 290,  
9,  0,  9.000, 210,  
9,  1,  9.001, 200,  
9,  2,  9.002, 250,  
9,  3,  9.003, 270,  
9,  4,  9.004, 260,  
9,  5,  9.005, 230,  
9,  6,  9.006, 230,  
9,  7,  9.007, 240,  
9,  8,  9.008, 220,  
9,  9,  9.009, 230,  
9,  10,  9.010, 280,  
9,  11,  9.011, 290,  
10,  0, 10.000, 240,  
10,  1, 10.001, 240,  
10,  2, 10.002, 230,  
10,  3, 10.003, 240,  
10,  4, 10.004, 240,  
10,  5, 10.005, 280,  
2,  0,  2.000, 200,  
2,  1,  2.001, 190,  
2,  2,  2.002, 250,  
2,  3,  2.003, 250,  
2,  4,  2.004, 270,  
2,  5,  2.005, 230,  
2,  6,  2.006, 230,  
2,  7,  2.007, 300,  
2,  8,  2.008, 230,  
2,  9,  2.009, 230,  
2,  10,  2.010, 230,  
2,  11,  2.011, 240,  
1,  6,  1.006, 280,  
1,  7,  1.007, 240,  
1,  8,  1.008, 230,  
1,  9,  1.009, 250,  
1,  10,  1.010, 240,  
1,  11,  1.011, 290,  
8,  0,  8.000, 220,  
8,  1,  8.001, 190,  
8,  2,  8.002, 250,  
8,  3,  8.003, 260,  
8,  4,  8.004, 270,  
8,  5,  8.005, 230,  
8,  6,  8.006, 230,  
8,  7,  8.007, 290,  
8,  8,  8.008, 220,  
8,  9,  8.009, 230,  
8,  10,  8.010, 280,  
8,  11,  8.011, 280,  
7,  6,  7.006, 230,  
7,  7,  7.007, 220,  
7,  8,  7.008, 240,  
7,  9,  7.009, 290,  
7,  10,  7.010, 240,  
7,  11,  7.011, 280,  
0,  0,  0.000, 210,  
0,  1,  0.001, 190,  
0,  2,  0.002, 250,  
0,  3,  0.003, 260,  
0,  4,  0.004, 270,  
0,  5,  0.005, 230,  
0,  6,  0.006, 230,  
0,  7,  0.007, 240,  
0,  8,  0.008, 230,  
0,  9,  0.009, 230,  
0,  10,  0.010, 230,  
0,  11,  0.011, 230,  
1,  0,  1.000, 230,  
1,  1,  1.001, 230,  
1,  2,  1.002, 240,  
1,  3,  1.003, 240,  
1,  4,  1.004, 250,  
1,  5,  1.005, 280,  
6,  0,  6.000, 200,  
6,  1,  6.001, 190,  
6,  2,  6.002, 250,  
6,  3,  6.003, 260,  
6,  4,  6.004, 270,  
6,  5,  6.005, 230,  
6,  6,  6.006, 230,  
6,  7,  6.007, 230,  
6,  8,  6.008, 220,  
6,  9,  6.009, 240,  
6,  10,  6.010, 280,  
6,  11,  6.011, 240,  
7,  0,  7.000, 230,  
7,  1,  7.001, 240,  
7,  2,  7.002, 240,  
7,  3,  7.003, 250,  
7,  4,  7.004, 250,  
7,  5,  7.005, 300,  
